timestamp,battery,current_ma,mah_drawn,mah_remain,soc,auto_land,alt,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_aux1,rc_aux2,rc_aux3,rc_aux4,pid_roll_p,pid_roll_i,pid_roll_d,pid_pitch_p,pid_pitch_i,pid_pitch_d,pid_yaw_p,pid_yaw_i,pid_yaw_d
1779439347.189,3.53,2150,160,240,44,0,0.00,-0.2,0.8,-178,-0.016,0.000,1.002,1.00,0.25,3.00,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439348.354,3.53,2150,160,240,44,0,-0.02,-0.2,0.8,-178,-0.016,0.000,0.996,3.50,0.88,-1.62,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439349.506,3.53,2150,161,239,43,0,-0.01,-0.1,0.8,-179,-0.021,0.012,0.994,-2.12,-0.38,1.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439350.687,3.53,2150,161,239,43,0,-0.02,-0.2,0.8,-179,-0.012,-0.004,1.000,1.12,-0.88,-3.63,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439351.870,3.53,2150,162,238,43,0,-0.01,-0.3,0.8,179,-0.016,0.002,0.996,-1.12,0.38,3.50,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439353.040,3.53,2150,163,237,43,0,0.01,-0.4,0.7,178,-0.020,0.008,0.996,-2.62,-0.25,0.62,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439354.227,3.53,2150,163,237,43,0,-0.01,-0.5,0.7,178,-0.016,0.004,0.998,-2.75,-0.38,0.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439355.389,3.53,2150,164,236,43,0,0.01,-0.4,0.7,177,-0.016,0.002,1.000,1.62,1.25,1.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439356.550,3.53,2150,165,235,43,0,0.01,-0.3,0.8,176,-0.021,0.004,0.996,-0.50,0.50,1.50,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439357.745,3.53,2150,166,234,43,0,0.00,-0.4,0.8,175,-0.018,0.004,0.996,0.50,0.38,0.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439358.925,3.53,2150,166,234,43,0,0.00,-1.2,-2.5,174,0.037,-0.014,0.996,-29.00,-53.00,-15.50,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439360.092,3.53,2150,166,234,43,0,-0.01,-3.5,-4.5,175,0.043,-0.021,0.979,-64.12,-35.62,-8.25,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439361.281,3.53,2049,168,232,43,0,-0.04,19.8,-5.4,-175,0.088,0.379,0.951,-2.38,-12.12,-8.25,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439362.453,3.53,2150,168,232,43,0,-0.05,1.3,-10.3,-175,0.141,0.045,1.008,-8.12,-23.88,-25.88,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439363.650,3.43,2299,169,231,39,0,-0.10,21.4,-21.5,-177,0.078,0.006,0.373,-80.88,-55.12,116.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779439364.845,3.52,2200,170,230,39,0,-0.74,-2.7,-7.7,180,0.109,-0.047,0.990,-0.25,-1.50,4.88,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
