timestamp,battery,current_ma,mah_drawn,mah_remain,soc,auto_land,alt,roll,pitch,yaw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_aux1,rc_aux2,rc_aux3,rc_aux4,pid_roll_p,pid_roll_i,pid_roll_d,pid_pitch_p,pid_pitch_i,pid_pitch_d,pid_yaw_p,pid_yaw_i,pid_yaw_d
1779380548.107,3.89,2849,23,527,83,0,-0.17,7.5,2.5,61,-0.049,0.115,0.994,2.12,8.62,-28.38,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380549.233,3.84,2849,23,527,82,0,-0.10,7.5,2.8,66,-0.047,0.127,0.980,0.25,4.50,5.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380550.370,3.83,2049,24,526,82,0,-0.06,8.2,2.6,67,-0.055,0.133,0.996,3.75,-4.25,1.38,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380551.494,3.92,1950,25,525,82,0,-0.03,8.0,2.3,66,-0.053,0.127,0.992,0.50,0.12,1.00,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380552.615,3.92,1799,25,525,82,0,-0.01,8.4,2.0,65,-0.053,0.127,0.994,-1.25,-3.00,-4.12,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380553.753,3.92,1749,26,524,82,0,-0.01,7.8,1.1,65,-0.037,0.119,0.998,-3.50,-1.25,1.62,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380554.884,3.92,1649,27,523,82,0,0.01,7.7,1.0,63,-0.031,0.113,0.996,-3.50,1.75,-3.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380555.998,3.92,1600,27,523,82,0,0.03,7.3,0.7,64,-0.031,0.109,0.994,-2.88,1.12,-3.75,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380557.114,3.92,1499,27,523,82,0,0.04,6.9,0.5,63,-0.025,0.098,0.998,0.50,-0.75,-5.50,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380558.233,3.92,1450,28,522,82,0,0.05,6.8,0.5,63,-0.027,0.102,0.994,2.25,0.25,0.38,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380559.378,3.92,1350,28,522,84,0,0.07,6.6,0.3,60,-0.020,0.102,0.992,3.38,-0.38,1.38,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380560.489,3.91,600,29,521,84,0,0.10,5.8,1.2,66,-0.023,0.096,1.000,1.00,-2.25,-0.25,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380561.623,3.91,550,29,521,84,0,0.10,5.8,1.2,67,-0.021,0.096,0.998,0.00,-0.62,-0.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380562.761,3.91,550,29,521,84,0,0.10,5.8,1.2,67,-0.021,0.096,0.998,0.00,-0.62,-0.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380563.885,4.01,449,29,521,86,0,0.08,5.5,1.2,69,-0.018,0.092,0.998,-0.50,-3.50,-0.75,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380565.015,4.01,449,29,521,86,0,0.08,5.5,1.2,69,-0.018,0.092,0.998,-0.50,-3.50,-0.75,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380566.148,4.01,449,29,521,86,0,0.00,2.9,0.2,66,-0.002,0.047,0.998,2.62,-0.12,0.00,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380567.275,4.01,449,29,521,86,0,0.00,2.9,0.2,66,-0.002,0.047,0.998,2.62,-0.12,0.00,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380568.426,4.01,449,29,521,86,0,0.00,2.9,0.2,66,-0.002,0.047,0.998,2.62,-0.12,0.00,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380569.620,4.01,449,30,520,86,0,-0.01,2.9,-0.5,68,0.012,0.045,1.006,2.00,-0.25,0.50,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380570.769,4.01,449,30,520,86,0,0.03,3.0,-0.8,68,0.010,0.051,1.006,-3.63,-1.00,-0.12,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380571.884,3.91,600,30,520,83,0,0.05,1.7,-0.9,66,0.010,0.021,1.008,1.12,-1.87,1.38,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380573.013,3.91,899,30,520,83,0,0.04,1.7,-0.9,66,0.014,0.033,1.004,-6.50,-0.62,-5.38,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380574.138,3.92,1250,30,520,83,0,-0.03,1.8,-1.1,65,0.016,0.025,0.998,1.50,1.62,-8.50,0.0,0.0,0.0,1500,1500,1500,1000,1500,1000,1000,1500,40,40,40,40,40,40,85,45,0
1779380575.266,3.91,1100,31,519,83,0,0.08,1.9,-0.9,63,0.014,0.025,1.000,2.38,2.50,0.75,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
1779380576.408,3.91,1100,31,519,83,0,0.08,1.9,-0.9,63,0.014,0.025,1.000,2.38,2.50,0.75,0.0,0.0,0.0,1500,1500,1500,1300,1500,1000,1000,1200,40,40,40,40,40,40,85,45,0
